tech,region,year,USD,CO2
pv,CA,2016,1137367,2403.509
pv,NE,2016,1012257,2403.509
pv,MX,2016,1137367,2403.509
pv,NW,2016,1012257,2403.509
pv,SW,2016,1012257,2403.509
wind,CA,2016,1577869,551.25
wind,NE,2016,1577869,551.25
wind,MX,2016,1577869,551.25
wind,NW,2016,1483197,551.25
wind,SW,2016,1451639,551.25
coal,all,2016,3636000,623.68
oil,all,2016,900000,330
gas,CA,2016,978000,61.67
gas,NE,2016,792180,61.67
gas,MX,2016,978000,61.67
gas,NW,2016,792180,61.67
gas,SW,2016,801960,61.67
bat_e,all,2016,275000,41458.868
bat_in,all,2016,75000,0
bat_out,all,2016,0,0
h2_e,all,2015,3.00E+02,0
h2_in,all,2015,7.32E+05,1.45E+06
h2_out,all,2015,3.75E+05,1.45E+06
trans,all,2016,882,266.2
