Timestamp,year,CVA,NVA,CCT,FRE,SDG,ECA,LAX,NCT,PAC,ELU,NE,NW,SW,MX
1,2016,3135.16079005108,474.180493945868,4847.04742321801,1374.50736399168,2176,29.2962377627071,6962.53480080696,600.843820469108,122.260108324254,3551.16896143033,1,1,1,1
2,2016,3032.97249065961,458.724923553848,4689.06141662459,1329.70629016061,2073,28.3848116044819,6745.92554208888,581.259750520143,118.275128481204,3440.68964630663,0,0,0,0
3,2016,2953.06361700756,446.639026939158,4565.52003356171,1294.67289231015,2009,27.659560911504,6573.56268682846,565.94546326354,115.15896691789,3352.77775226003,0,0,0,0
4,2016,2909.09888354844,439.989537351893,4497.54930979477,1275.39801170841,1980,27.2733162895732,6481.76790950586,557.519758750613,113.44449884588,3305.95877420456,0,0,0,0
5,2016,2911.77241463717,440.393898205173,4501.68266461843,1276.57013282608,1991,27.2927674575841,6486.39066807607,558.032132673697,113.548757039448,3308.31656446635,0,0,0,0
6,2016,2969.4018625498,449.110121042533,4590.77942415077,1301.83585469593,2056,27.7262506303985,6589.41214478345,569.076637237938,115.796100323028,3360.86160458616,0,0,0,0
7,2016,3061.78721461593,463.083034972528,4733.60979639075,1342.33915109553,2151,27.9902307676893,6652.14958252191,586.782002802264,119.398800122994,3392.8601867104,0,0,0,0
8,2016,3123.87254767644,472.473192565354,4829.5954806292,1369.55840816151,2164,27.5761987628858,6553.75086438474,598.680463904978,121.819907062522,3342.67293685238,0,0,0,0
9,2016,3188.03729380597,482.177853044064,4928.79599639716,1397.68931498567,2144,27.2260777386896,6470.54121012109,610.977438058979,124.322103708157,3300.23271214023,0,0,0,0
10,2016,3285.76970804956,496.959488680618,5079.89307828448,1440.53685362062,2105,26.9509826482497,6405.16219605679,629.707551469472,128.13331989526,3266.88682129496,0,0,0,0
11,2016,3335.67562170585,504.507557941837,5157.0490349929,1462.41644781719,2098,26.7925945658752,6367.51973341371,639.271864700361,130.079472841865,3247.68767202042,0,0,0,0
12,2016,3282.20499993125,496.420340876245,5074.38193851959,1438.97402546372,2039,26.3896775142208,6271.76259160236,629.024386238694,127.994308970502,3198.84773088342,0,0,0,0
13,2016,3226.06084706791,487.928762957374,4987.58148722262,1414.35948199258,2006,26.0506714431736,6191.19451366454,618.264533853943,125.804886905571,3157.75481489228,0,0,0,0
14,2016,3166.35198608627,478.89803723413,4895.26989616077,1388.18211036454,1998,25.8672747162136,6147.60850428834,606.821516238414,123.476453915882,3135.52422099544,0,0,0,0
15,2016,3182.39317261865,481.324202353807,4920.07002510276,1395.21483707058,2036,25.9645305562682,6170.72229713936,609.895759776914,124.102003077291,3147.31317230437,0,0,0,0
16,2016,3139.02255717925,474.764570733938,4853.01782462997,1376.20042782832,2106,26.1395910683663,6212.32712427118,601.583916135784,122.410703492741,3168.53328466045,0,0,0,0
17,2016,3232.00202726509,488.827342631328,4996.7667201641,1416.96419558741,2318,27.8374001618894,6615.82790804175,619.403142571906,126.036571780167,3374.33469179636,0,0,0,0
18,2016,3633.62580859435,549.571328590663,5617.68846700802,1593.0428345979,2704,31.8999155378808,7581.32405513269,696.373091906209,141.698469302849,3866.77602932943,0,0,0,0
19,2016,3715.0199772957,561.881870123841,5743.52615830628,1628.72741084707,2764,32.7863330515205,7791.98976711765,711.972031342303,144.872552084813,3974.22389983083,0,0,0,0
20,2016,3672.24347987601,555.412096471368,5677.39248112763,1609.9734729643,2732,32.6974134263278,7770.857156511,703.774048572969,143.204420987723,3963.44543006267,0,0,0,0
21,2016,3600.65225850001,544.584211400214,5566.71042418282,1578.5866741466,2677,32.2889388980989,7673.77922653674,690.053813521514,140.412618248842,3913.93183456516,0,0,0,0
22,2016,3474.40217930997,525.489393328678,5371.52422417641,1523.23651025646,2559,31.3413891421392,7448.58484475972,665.858378264799,135.489314663679,3799.07376609814,0,0,0,0
23,2016,3327.3579694298,503.249546398301,5144.18970887483,1458.76984878443,2389,29.9381263070669,7115.08583362366,637.677812495213,129.755114017431,3628.97604006928,0,0,0,0
24,2016,3195.7608280623,483.346006620205,4940.73679922109,1401.07544265895,2183,28.231980998682,6709.60386760872,612.457629392331,124.623294045132,3422.1641513926,0,0,0,0
25,2016,3043.66661501453,460.342366966966,4705.59483591925,1334.3947746313,2031,27.3872445593513,6508.84406684562,583.309246212477,118.692161255477,3319.76868859503,0,0,0,0
26,2016,2924.84301107096,442.370773487873,4521.89017708968,1282.30050273471,1940,26.4647034479771,6289.59323180172,560.537071853215,114.058463763559,3207.94206475031,0,0,0,0
27,2016,2858.89591088228,432.396539106977,4419.93409143928,1253.3881818321,1901,25.8867258842245,6152.23126285855,547.898515083825,111.486761655545,3137.88201125723,0,0,0,0
28,2016,2829.48706890625,427.948569720901,4374.46718837896,1240.49484953769,1890,25.6727630361046,6101.38091858631,542.262401929908,110.339921526295,3111.94631837758,0,0,0,0
29,2016,2854.73708474426,431.767533335208,4413.50442838024,1251.56488231572,1920,25.9172920053845,6159.49559775458,547.101488981251,111.324582243327,3141.58711024004,0,0,0,0
30,2016,2931.081250278,443.314282145526,4531.53467167824,1285.03545200928,2001,26.5814104560425,6317.32978322293,561.732611007077,114.301732881885,3222.08880632102,0,0,0,0
31,2016,3051.39014927086,461.510520543107,4717.53563874317,1337.78090230458,2120,27.4178106805113,6516.10840174166,584.789437545829,118.993351592452,3323.47378757783,0,0,0,0
32,2016,3201.70200825948,484.24458629416,4949.92203216256,1403.68015625378,2176,27.7012419858131,6583.46859805033,613.596238110294,124.854978919728,3357.83015996386,0,0,0,0
33,2016,3336.26973972557,504.597415909233,5157.96755828704,1462.67691917667,2196,28.1847424477984,6698.37716822394,639.385725572158,130.102641329325,3416.43808932826,0,0,0,0
34,2016,3415.5844953579,516.593454556527,5280.59041805578,1497.44984566765,2169,28.6182256206128,6801.39864493132,654.586151956964,133.19563440518,3468.98312944807,0,0,0,0
35,2016,3317.2579630946,501.721960952578,5128.57481287431,1454.34183567322,2197,28.7404901052527,6830.45598451545,635.742177674676,129.361249730618,3483.8035253793,0,0,0,0
36,2016,3243.29026963973,490.534644011842,5014.21866275291,1421.91315141758,2129,28.1958574009475,6701.01874454977,621.566499136036,126.476773041899,3417.78539804928,0,0,0,0
37,2016,3232.59614528481,488.917200598724,4997.68524345825,1417.22466694689,2097,27.5956499308967,6558.37362295494,619.517003443702,126.059740267626,3345.03072711416,0,0,0,0
38,2016,3270.91675755661,494.713039495731,5056.92999593078,1434.02506963354,2100,27.3011036724459,6488.37185032044,626.861029674564,127.55410770877,3309.32704600711,0,0,0,0
39,2016,3281.31382290167,496.285553925152,5073.00415357837,1438.58331842449,2145,27.0732471328896,6434.21953564092,628.853594930999,127.959556239313,3281.70721722619,0,0,0,0
40,2016,3281.61088191153,496.33048290885,5073.46341522544,1438.71355410424,2139,26.9620976013988,6407.80377238262,628.910525366897,127.971140483043,3268.23413001598,0,0,0,0
41,2016,3355.28151635654,507.472870865887,5187.36030369977,1471.01200268013,2340,28.3875903427692,6746.58593617034,643.029273469639,130.844032928032,3441.02647348689,0,0,0,0
42,2016,3682.64054522108,556.984610900788,5693.46663877522,1614.53172175525,2720,32.3500711404189,7688.30789632881,705.766613829404,143.609869518265,3921.34203253077,0,0,0,0
43,2016,3728.38763273935,563.903674390239,5764.1929324246,1634.58801643544,2787,33.1642414585895,7881.80336219587,714.53390095772,145.393843052654,4020.03239634554,0,0,0,0
44,2016,3669.27288977743,554.962806634391,5672.79986465689,1608.67111616688,2754,33.0225258059387,7848.12326404154,703.204744213987,143.088578550425,4002.85421015253,0,0,0,0
45,2016,3588.4728390958,542.742123068607,5547.88069665279,1573.2470112772,2690,32.5501402971024,7735.85627019375,687.71966564969,139.937664255921,3945.59358950914,0,0,0,0
46,2016,3456.57863871844,522.793654306814,5343.96852535198,1515.42236947197,2576,31.5247858690991,7492.17085413592,662.442552110909,134.794260039892,3821.30435999498,0,0,0,0
47,2016,3289.92853418758,497.588494452386,5086.32274134351,1442.360153137,2395,30.1298592488887,7160.65302524423,630.504577572046,128.295499307477,3652.21711550689,0,0,0,0
48,2016,3164.56963202711,478.628463331943,4892.51432627833,1387.40069628609,2188,28.4598375382383,6763.75618228824,606.479933623025,123.406948453503,3449.78398017352,0,0,0,0
49,2016,2996.1371734371,453.153729575329,4632.11297238742,1313.55706587267,2034,27.2677588129987,6480.44712134295,574.200376468772,116.83868225871,3305.28511984405,0,0,0,0
50,2016,2856.81649781327,432.082036221092,4416.71925990976,1252.47653207391,1933,26.197944572399,6226.19539998179,547.500002032538,111.405671949436,3175.60665544581,0,0,0,0
51,2016,2775.42232911192,419.771494687914,4290.88156861151,1216.79195582474,1881,25.5254899068792,6066.38003226906,531.901062596444,108.231589167472,3094.09447782406,0,0,0,0
52,2016,2743.93407406688,415.009022415954,4242.19983402167,1202.98697377214,1860,25.1837050975448,5985.15156024979,525.86643639124,107.003659332114,3052.66473465267,0,0,0,0
53,2016,2758.78702455982,417.255471600841,4265.16291637537,1209.49875775921,1874,25.278182199312,6007.60495901934,528.712958186148,107.582871518604,3064.11685878135,0,0,0,0
54,2016,2824.73412474851,427.229705981737,4367.11900202578,1238.41107866183,1936,25.8005849973191,6131.75904633336,541.351514955538,110.154573626618,3127.44036866932,0,0,0,0
55,2016,2934.94301740617,443.898358933596,4537.5050730902,1286.72851584592,2043,26.7759221361515,6363.55736892496,562.472706673753,114.452328050372,3245.66670893889,0,0,0,0
56,2016,3044.26073303425,460.432224934362,4706.51335921339,1334.65524599079,2083,26.7648071830025,6360.91579259913,583.423107084273,118.715329742937,3244.31940021787,0,0,0,0
57,2016,3057.03427045818,462.364171233364,4726.26161003757,1340.25538021967,2104,27.1538305432205,6453.37096400319,585.871115827894,119.213452223318,3291.47520545359,0,0,0,0
58,2016,3144.07256034685,475.5283634568,4860.82527263023,1378.41443438393,2073,27.1038132540496,6441.48387053695,602.551733546052,122.607635636148,3285.412316209,0,0,0,0
59,2016,3144.36961935671,475.573292440497,4861.2845342773,1378.54467006367,2086,26.9815487694097,6412.42653095282,602.608663981951,122.619219879877,3270.59192027777,0,0,0,0
60,2016,3117.04019044969,471.439825940306,4819.0324627465,1366.56298752745,2091,26.9093015739406,6395.25628483492,597.37106387932,121.553469456736,3261.83441359113,0,0,0,0
61,2016,3087.03723045393,466.901998586835,4772.64703639204,1353.40918387356,2119,27.0537959648787,6429.59677707072,591.621089853607,120.383460840027,3279.3494269644,0,0,0,0
62,2016,3089.11664352295,467.216501472719,4775.86186792155,1354.32083363175,2140,27.0982557774751,6440.16308237404,592.019602904894,120.464550546136,3284.73866184849,0,0,0,0
63,2016,3116.74313143983,471.394896956608,4818.57320109943,1366.43275184771,2198,27.281652504435,6483.74909175024,597.314133443422,121.541885213006,3306.96925574533,0,0,0,0
64,2016,3161.89610093838,478.224102478664,4888.38097145466,1386.22857516842,2244,27.281652504435,6483.74909175024,605.967559699942,123.302690259935,3306.96925574533,0,0,0,0
65,2016,3315.77266804531,501.497316034089,5126.27850463894,1453.69065727451,2411,28.4626162765255,6764.4165763697,635.457525495185,129.303328511969,3450.12080735378,0,0,0,0
66,2016,3697.19643670416,559.186131101977,5715.97045948184,1620.91327006258,2796,32.6251662308588,7753.68691039311,708.556205188414,144.177497461025,3954.68792337603,0,0,0,0
67,2016,3753.93470758722,567.767566988244,5803.68943407296,1645.78828489321,2843,33.4421152873167,7947.84277034163,719.429918444961,146.390088013416,4053.71511437106,0,0,0,0
68,2016,3697.49349571402,559.231060085675,5716.42972112891,1621.04350574232,2788,33.3726468301349,7931.33291830519,708.613135624312,144.189081704755,4045.29443486468,0,0,0,0
69,2016,3591.44342919439,543.191412905585,5552.47331312353,1574.54936807461,2681,32.6862984731788,7768.21558018517,688.288970008671,140.053506693218,3962.09812134165,0,0,0,0
70,2016,3400.13742684524,514.257147404245,5256.70881240793,1490.67759032109,2499,31.2441333020847,7425.4710519087,651.62576929026,132.593253731231,3787.28481478921,0,0,0,0
71,2016,3171.69904826373,479.706758940689,4903.5366058081,1390.52635259989,2270,29.4935281811034,7009.42278059045,607.846264084581,123.684970303018,3575.08369122845,0,0,0,0
72,2016,3031.19013660046,458.455349651661,4686.30584674214,1328.92487608216,2046,27.5845349777476,6555.73204662911,580.918167904754,118.205623018826,3343.68341839314,0,0,0,0
73,2016,2866.32238612875,433.51976369942,4431.41563261612,1256.64407382563,1907,26.2312894318463,6234.12012895928,549.321775981279,111.776367748789,3179.64858160887,0,0,0,0
74,2016,2762.35173267813,417.794619405214,4270.67405614026,1211.06158591611,1827,25.2559522930138,6002.32180636768,529.396123416926,107.721882443361,3061.4222413393,0,0,0,0
75,2016,2702.93993070635,408.808822665667,4178.82172672547,1185.01444996781,1790,24.614063748654,5849.77077355099,518.010036237295,105.405033697402,2983.61516270036,0,0,0,0
76,2016,2707.69287486409,409.527686404831,4186.16991307866,1187.09822084368,1789,24.6085062720795,5848.44998538807,518.920923211666,105.590381597079,2982.94150833985,0,0,0,0
