Timestamp,year,CCT,CVA,ECA,ELU,FRE,LAX,MX,NCT,NE,NVA,NW,PAC,SDG,SW
1,2016,0.02,0.2,0.13,0.03,0.16,0.04,0.05,0.68,0.17,0.06,0.05,0.03,0.39,0.0001
2,2016,0.02,0.24,0.19,0.04,0.15,0.06,0.04,0.64,0.15,0.06,0.05,0.04,0.44,0
3,2016,0.02,0.26,0.26,0.05,0.17,0.1,0.04,0.59,0.13,0.06,0.06,0.06,0.49,0
4,2016,0.03,0.27,0.31,0.05,0.15,0.14,0.05,0.53,0.13,0.05,0.07,0.08,0.53,0
5,2016,0.02,0.26,0.32,0.04,0.11,0.17,0.07,0.45,0.12,0.05,0.08,0.1,0.56,0
6,2016,0.02,0.24,0.31,0.03,0.08,0.2,0.09,0.39,0.11,0.05,0.09,0.11,0.58,0
7,2016,0.03,0.21,0.3,0.03,0.05,0.22,0.09,0.38,0.11,0.06,0.11,0.11,0.56,0
8,2016,0.04,0.2,0.3,0.03,0.03,0.23,0.07,0.37,0.12,0.06,0.15,0.1,0.49,0
9,2016,0.05,0.16,0.25,0.02,0.01,0.2,0.03,0.41,0.11,0.06,0.18,0.07,0.35,0
10,2016,0.03,0.1,0.18,0,0,0.21,0,0.66,0.07,0.05,0.13,0.04,0.34,0
11,2016,0.02,0.09,0.21,0,0,0.21,0,0.73,0.02,0.03,0.09,0.07,0.29,0
12,2016,0.01,0.07,0.25,0,0,0.19,0,0.65,0,0.03,0.1,0.11,0.21,0
13,2016,0,0.04,0.3,0.01,0,0.17,0,0.42,0.01,0.02,0.07,0.16,0.17,0
14,2016,0,0.02,0.28,0.02,0.01,0.16,0,0.19,0.02,0.02,0.05,0.18,0.14,0
15,2016,0,0.01,0.23,0.04,0.04,0.17,0.01,0.14,0.03,0.02,0.05,0.15,0.12,0
16,2016,0,0,0.15,0.07,0.1,0.17,0.03,0.22,0.05,0.03,0.08,0.09,0.1,0
17,2016,0,0,0.11,0.15,0.18,0.16,0.05,0.43,0.07,0.03,0.15,0.04,0.12,0
18,2016,0,0,0.11,0.2,0.23,0.17,0.07,0.67,0.11,0.03,0.21,0.02,0.13,0
19,2016,0,0,0.12,0.19,0.22,0.19,0.08,0.76,0.13,0.03,0.25,0.03,0.13,0
20,2016,0,0,0.13,0.11,0.2,0.18,0.08,0.79,0.12,0.03,0.26,0.04,0.12,0
21,2016,0.01,0.01,0.15,0.03,0.17,0.16,0.08,0.78,0.1,0.03,0.27,0.05,0.1,0
22,2016,0.05,0.01,0.18,0,0.14,0.14,0.06,0.76,0.08,0.03,0.26,0.06,0.09,0
23,2016,0.09,0.02,0.21,0,0.11,0.14,0.04,0.72,0.07,0.03,0.24,0.09,0.08,0
24,2016,0.12,0.03,0.24,0,0.1,0.14,0.03,0.69,0.06,0.03,0.22,0.11,0.07,0
25,2016,0.13,0.04,0.25,0,0.08,0.15,0.02,0.68,0.06,0.03,0.2,0.12,0.06,0
26,2016,0.11,0.04,0.25,0,0.06,0.18,0.01,0.69,0.08,0.03,0.18,0.12,0.05,0
27,2016,0.08,0.04,0.24,0,0.04,0.23,0.01,0.71,0.09,0.04,0.17,0.1,0.04,0
28,2016,0.05,0.04,0.21,0,0.03,0.28,0.02,0.74,0.11,0.05,0.17,0.08,0.04,0
29,2016,0.05,0.04,0.18,0,0.02,0.31,0.02,0.78,0.11,0.06,0.17,0.05,0.03,0
30,2016,0.05,0.04,0.15,0.01,0.02,0.33,0.03,0.81,0.11,0.07,0.17,0.03,0.03,0
31,2016,0.06,0.04,0.12,0.01,0.02,0.34,0.04,0.79,0.1,0.07,0.17,0.02,0.03,0
32,2016,0.06,0.04,0.1,0,0.02,0.3,0.04,0.71,0.1,0.1,0.17,0.02,0.03,0
33,2016,0.05,0.03,0.08,0,0.03,0.21,0.04,0.67,0.07,0.13,0.15,0.02,0.03,0
34,2016,0.02,0.02,0.04,0,0.03,0.17,0.02,0.7,0.02,0.14,0.08,0.01,0.01,0
35,2016,0,0.01,0.03,0,0.01,0.17,0,0.75,0,0.16,0.05,0.01,0.01,0
36,2016,0,0,0.03,0,0.01,0.14,0,0.79,0,0.18,0.03,0.01,0.02,0
37,2016,0,0.01,0.02,0.01,0.01,0.12,0,0.81,0,0.22,0.01,0.02,0.02,0
38,2016,0,0,0.02,0.01,0.03,0.12,0,0.84,0.01,0.28,0.01,0.03,0.01,0
39,2016,0,0,0.01,0.02,0.06,0.13,0,0.87,0.01,0.37,0.01,0.03,0.01,0
40,2016,0,0,0.01,0.03,0.13,0.13,0,0.88,0.02,0.48,0.01,0.03,0.01,0
41,2016,0,0,0.01,0.07,0.23,0.12,0.02,0.89,0.03,0.59,0.03,0.04,0.02,0
42,2016,0,0,0.02,0.11,0.28,0.12,0.03,0.89,0.05,0.72,0.04,0.02,0.03,0
43,2016,0,0,0.01,0.11,0.26,0.13,0.04,0.89,0.06,0.81,0.05,0.01,0.03,0
44,2016,0,0,0.01,0.08,0.21,0.14,0.03,0.89,0.08,0.86,0.08,0,0.04,0
45,2016,0,0,0.01,0.02,0.16,0.15,0.02,0.89,0.11,0.87,0.12,0,0.04,0
46,2016,0.02,0,0.01,0,0.11,0.17,0.02,0.9,0.15,0.87,0.16,0.01,0.05,0
47,2016,0.05,0,0.02,0,0.06,0.18,0.03,0.9,0.16,0.87,0.19,0.02,0.06,0
48,2016,0.08,0,0.03,0,0.03,0.18,0.06,0.9,0.17,0.87,0.21,0.03,0.07,0
49,2016,0.12,0,0.03,0,0.01,0.17,0.08,0.9,0.18,0.88,0.21,0.03,0.09,0
50,2016,0.14,0,0.04,0,0.01,0.17,0.09,0.9,0.18,0.88,0.24,0.03,0.1,0
51,2016,0.11,0.01,0.05,0,0.01,0.17,0.09,0.9,0.2,0.87,0.28,0.03,0.11,0
52,2016,0.08,0.02,0.07,0.01,0.02,0.18,0.08,0.9,0.23,0.86,0.31,0.03,0.13,0
53,2016,0.05,0.03,0.08,0.02,0.04,0.19,0.08,0.9,0.24,0.85,0.32,0.04,0.14,0
54,2016,0.02,0.03,0.08,0.03,0.05,0.19,0.1,0.9,0.24,0.82,0.36,0.05,0.16,0
55,2016,0.01,0.03,0.08,0.04,0.05,0.19,0.12,0.9,0.25,0.78,0.37,0.07,0.18,0
56,2016,0,0.04,0.05,0.05,0.04,0.15,0.11,0.9,0.28,0.71,0.29,0.05,0.2,0
57,2016,0,0.04,0.03,0.03,0.03,0.09,0.08,0.9,0.27,0.65,0.18,0.03,0.19,0
58,2016,0,0.02,0.01,0.02,0.02,0.05,0.04,0.9,0.21,0.58,0.09,0,0.17,0
59,2016,0.01,0.01,0,0.01,0.02,0.05,0.02,0.9,0.16,0.53,0.1,0,0.24,0
60,2016,0.03,0.01,0,0.02,0.06,0.03,0.01,0.9,0.15,0.54,0.15,0,0.34,0
61,2016,0.05,0.01,0,0.03,0.13,0.01,0,0.9,0.14,0.54,0.19,0,0.37,0
62,2016,0.06,0.01,0,0.03,0.19,0.01,0,0.9,0.17,0.47,0.21,0,0.36,0
63,2016,0.04,0,0,0.03,0.23,0.02,0.01,0.9,0.26,0.42,0.24,0,0.31,0
64,2016,0.02,0,0,0.03,0.25,0.04,0.05,0.9,0.32,0.41,0.19,0,0.31,0
65,2016,0.06,0,0,0.04,0.26,0.08,0.14,0.9,0.28,0.44,0.19,0,0.35,0
66,2016,0.11,0.01,0,0.04,0.26,0.11,0.26,0.9,0.26,0.47,0.2,0.01,0.38,0
67,2016,0.14,0.01,0,0.04,0.23,0.11,0.35,0.88,0.27,0.5,0.22,0.02,0.39,0
68,2016,0.15,0.02,0.01,0.05,0.2,0.09,0.33,0.78,0.27,0.56,0.19,0.02,0.42,0
69,2016,0.14,0.05,0.03,0.05,0.17,0.06,0.28,0.49,0.27,0.57,0.17,0.03,0.46,0
70,2016,0.12,0.09,0.05,0.04,0.14,0.04,0.25,0.3,0.22,0.56,0.2,0.06,0.49,0
71,2016,0.1,0.14,0.06,0.02,0.11,0.03,0.22,0.28,0.19,0.48,0.21,0.11,0.51,0
