tech,region,year,USD,CO2
pv,CA,2016,21800,0
pv,NE,2016,19402,0
pv,MX,2016,21800,0
pv,NW,2016,19402,0
pv,SW,2016,19402,0
wind,CA,2016,39700,0
wind,NE,2016,37318,0
wind,MX,2016,39700,0
wind,NW,2016,37318,0
wind,SW,2016,36524,0
coal,all,2016,42100,0
oil,all,2016,22500,0
nuc,all,2016,100280,0
gas,CA,2016,11000,0
gas,NE,2016,8910,0
gas,MX,2016,11000,0
gas,NW,2016,8910,0
gas,SW,2016,9020,0
biogas,all,2016,335000,0
biomass,all,2016,110000,0
ror_large,all,2016,0,0
ror_small,all,2016,0,0
geo,all,2016,0,0
bat_e,all,2016,10000,0
bat_in,all,2016,0,0
bat_out,all,2016,0,0
h2_e,all,2016,24.2,0
h2_in,all,2016,132080,0
h2_out,all,2016,0,0
php_e,all,2016,0,0
php_in,all,2016,4125,0
php_out,all,2016,0,0
trans,all,2016,0,0
