tech,categ,sector,fuel,eff_in,eff_out,max_gradient,time_series,lifetime,financial_lifetime,discount_rate
pv,generation,el,none,0,0,Inf,solar,25,25,0.07
wind,generation,el,none,0,0,Inf,wind,25,25,0.07
coal,generation,el,coal,0,0,0.6,none,40,40,0.07
oil,generation,el,oil,0,0,3,none,30,30,0.07
nuc,generation,el,nuc,0,0,0.25,none,60,60,0.07
gas,generation,el,gas,0,0,4.8,none,30,30,0.07
biogas,generation,el,biogas,0,0,0.3,none,25,25,0.07
biomass,generation,el,biomass,0,0,0.3,none,25,25,0.07
ror_large,generation,el,none,0,0,5,ror_large,30,30,0.07
ror_small,generation,el,none,0,0,5,ror_small,80,80,0.07
geo,generation,el,geo,0,0,1,none,100,100,0.07
bat_e,storage_e,el,none,0.94,0.94,Inf,none,10,10,0.07
bat_p,storage_p,el,none,0,0,Inf,none,10,10,0.07
php_e,storage_e,el,none,0.92,0.92,Inf,none,50,50,0.07
php_p,storage_p,el,none,0,0,Inf,none,50,50,0.07
trans,transmission,el,none,1,0.9995,Inf,none,40,40,0.07
