nodes,share_l,share_h,pv,wind,coal,gas,nuc,oil,psp,psp_stor
dena21,0.014000000000000005,0.015000000000000006,1068,3299,470.0,23.0,1410.0,550.0,0.0,0.0
dena81,0.06600000000000002,0.07600000000000003,2655,6757,1469.0,2468.0,0.0,718.0,0.0,0.0
dena82,0.027000000000000003,0.030000000000000002,247,609,454.0,146.0,0.0,148.0,119.0,534.0
dena22,0.038000000000000006,0.046000000000000006,1513,4442,1631.0,792.0,0.0,462.0,0.0,0.0
dena23,0.05900000000000001,0.07100000000000001,986,3145,2724.0,640.0,1360.0,354.0,220.0,940.0
dena71,0.018000000000000002,0.016,1041,1014,794.0,1960.0,1329.0,0.0,0.0,0.0
dena84,0.049,0.047,2450,3184,8289.0,799.0,0.0,174.0,1085.0,4810.0
dena73,0.06100000000000001,0.05000000000000001,1234,1301,2124.0,2179.0,0.0,218.0,138.0,690.0
dena24,0.041999999999999996,0.049,1377,1000,1172.0,604.0,0.0,82.0,623.0,4361.0
dena83,0.032000000000000015,0.038000000000000006,1723,2311,998.0,926.0,0.0,259.0,1590.0,12510.0
dena72,0.15600000000000003,0.128,1446,543,9963.0,2875.0,0.0,1918.0,153.0,590.0
dena74,0.10400000000000001,0.08499999999999999,1062,1304,7847.0,1571.0,0.0,155.0,0.0,0.0
dena25,0.04100000000000001,0.047,3289,701,42.0,1509.0,1275.0,0.0,291.0,1548.0
dena75,0.078,0.08,1736,1531,3553.0,2127.0,0.0,168.0,1096.0,4625.0
dena41,0.051,0.05,1289,190,1530.0,659.0,2712.0,75.0,0.0,0.0
dena42,0.07900000000000001,0.07900000000000001,3081,335,1166.0,505.0,0.0,669.0,1873.0,11252.0
dena26,0.06,0.07500000000000001,3994,49,801.0,2447.0,1410.0,987.0,99.0,550.0
dena76,0.020000000000000004,0.025,2121,112,0.0,140.0,2572.0,67.0,0.0,0.0
