,demand
2015-01-01T00:00:00,48144
2015-01-01T01:00:00,46023
2015-01-01T02:00:00,43910
2015-01-01T03:00:00,42584
2015-01-01T04:00:00,41766
2015-01-01T05:00:00,40583
2015-01-01T06:00:00,38530
2015-01-01T07:00:00,39039
2015-01-01T08:00:00,40006
2015-01-01T09:00:00,42315
2015-01-01T10:00:00,45250
2015-01-01T11:00:00,48647
2015-01-01T12:00:00,49316
2015-01-01T13:00:00,48804
2015-01-01T14:00:00,48432
2015-01-01T15:00:00,48751
2015-01-01T16:00:00,51714
2015-01-01T17:00:00,56305
2015-01-01T18:00:00,57683
2015-01-01T19:00:00,56564
2015-01-01T20:00:00,54000
2015-01-01T21:00:00,52634
2015-01-01T22:00:00,51736
2015-01-01T23:00:00,46863
2015-01-02T00:00:00,42373
2015-01-02T01:00:00,39550
2015-01-02T02:00:00,38678
2015-01-02T03:00:00,39081
2015-01-02T04:00:00,41104
2015-01-02T05:00:00,45704
2015-01-02T06:00:00,52876
2015-01-02T07:00:00,60905
2015-01-02T08:00:00,65812
2015-01-02T09:00:00,68377
2015-01-02T10:00:00,71150
2015-01-02T11:00:00,73029
2015-01-02T12:00:00,73506
2015-01-02T13:00:00,72707
2015-01-02T14:00:00,71651
2015-01-02T15:00:00,71240
2015-01-02T16:00:00,72567
2015-01-02T17:00:00,75539
2015-01-02T18:00:00,75025
2015-01-02T19:00:00,73210
2015-01-02T20:00:00,68399
2015-01-02T21:00:00,65353
2015-01-02T22:00:00,63205
2015-01-02T23:00:00,57644
2015-01-03T00:00:00,54065
2015-01-03T01:00:00,51354
2015-01-03T02:00:00,50583
2015-01-03T03:00:00,50998
2015-01-03T04:00:00,52039
2015-01-03T05:00:00,54443
2015-01-03T06:00:00,59696
2015-01-03T07:00:00,66022
2015-01-03T08:00:00,69616
2015-01-03T09:00:00,71047
2015-01-03T10:00:00,72849
2015-01-03T11:00:00,73995
2015-01-03T12:00:00,73629
2015-01-03T13:00:00,72449
2015-01-03T14:00:00,71317
2015-01-03T15:00:00,71191
2015-01-03T16:00:00,72906
2015-01-03T17:00:00,75550
2015-01-03T18:00:00,74964
2015-01-03T19:00:00,72707
2015-01-03T20:00:00,67739
2015-01-03T21:00:00,64481
2015-01-03T22:00:00,62560
2015-01-03T23:00:00,57338
2015-01-04T00:00:00,53183
2015-01-04T01:00:00,50584
2015-01-04T02:00:00,49891
2015-01-04T03:00:00,50438
2015-01-04T04:00:00,51934
2015-01-04T05:00:00,54642
2015-01-04T06:00:00,60151
2015-01-04T07:00:00,67152
2015-01-04T08:00:00,70307
2015-01-04T09:00:00,71515
2015-01-04T10:00:00,72651
2015-01-04T11:00:00,74328
2015-01-04T12:00:00,74096
2015-01-04T13:00:00,72923
2015-01-04T14:00:00,71723
2015-01-04T15:00:00,71008
2015-01-04T16:00:00,72557
2015-01-04T17:00:00,76777
2015-01-04T18:00:00,76318
2015-01-04T19:00:00,74091
2015-01-04T20:00:00,69578
2015-01-04T21:00:00,65970
2015-01-04T22:00:00,64168
2015-01-04T23:00:00,58775
2015-01-05T00:00:00,54825
2015-01-05T01:00:00,52603
2015-01-05T02:00:00,51648
2015-01-05T03:00:00,51831
2015-01-05T04:00:00,53169
2015-01-05T05:00:00,55382
2015-01-05T06:00:00,60989
2015-01-05T07:00:00,68212
2015-01-05T08:00:00,72360
2015-01-05T09:00:00,74018
2015-01-05T10:00:00,75266
2015-01-05T11:00:00,76830
2015-01-05T12:00:00,76931
2015-01-05T13:00:00,75917
2015-01-05T14:00:00,74611
2015-01-05T15:00:00,73674
2015-01-05T16:00:00,74483
2015-01-05T17:00:00,77457
2015-01-05T18:00:00,77029
2015-01-05T19:00:00,73809
2015-01-05T20:00:00,69698
2015-01-05T21:00:00,65905
2015-01-05T22:00:00,63808
2015-01-05T23:00:00,58810
2015-01-06T00:00:00,54710
2015-01-06T01:00:00,51679
2015-01-06T02:00:00,50458
2015-01-06T03:00:00,50663
2015-01-06T04:00:00,51734
2015-01-06T05:00:00,53173
2015-01-06T06:00:00,56871
2015-01-06T07:00:00,62110
2015-01-06T08:00:00,65612
2015-01-06T09:00:00,67537
2015-01-06T10:00:00,69110
2015-01-06T11:00:00,70895
2015-01-06T12:00:00,70916
2015-01-06T13:00:00,69272
2015-01-06T14:00:00,67609
2015-01-06T15:00:00,66720
2015-01-06T16:00:00,68457
2015-01-06T17:00:00,72885
2015-01-06T18:00:00,72908
2015-01-06T19:00:00,70351
2015-01-06T20:00:00,66267
2015-01-06T21:00:00,63576
2015-01-06T22:00:00,62249
2015-01-06T23:00:00,58381
2015-01-07T00:00:00,54942
2015-01-07T01:00:00,51960
2015-01-07T02:00:00,50221
2015-01-07T03:00:00,49704
2015-01-07T04:00:00,49905
2015-01-07T05:00:00,49398
2015-01-07T06:00:00,49142
2015-01-07T07:00:00,52072
2015-01-07T08:00:00,56410
2015-01-07T09:00:00,60014
2015-01-07T10:00:00,62746
2015-01-07T11:00:00,64491
2015-01-07T12:00:00,63906
2015-01-07T13:00:00,62884
2015-01-07T14:00:00,61290
