time,year,germany
2005-12-31T23:00:00Z,2005,47823
2006-01-01T00:00:00Z,2006,47823
2006-01-01T01:00:00Z,2006,43444
2006-01-01T02:00:00Z,2006,41432
2006-01-01T03:00:00Z,2006,40508
2006-01-01T04:00:00Z,2006,38865
2006-01-01T05:00:00Z,2006,35817
2006-01-01T06:00:00Z,2006,35555
2006-01-01T07:00:00Z,2006,36263
2006-01-01T08:00:00Z,2006,38569
2006-01-01T09:00:00Z,2006,41078
2006-01-01T10:00:00Z,2006,44206
2006-01-01T11:00:00Z,2006,45108
2006-01-01T12:00:00Z,2006,44216
2006-01-01T13:00:00Z,2006,43870
2006-01-01T14:00:00Z,2006,43922
2006-01-01T15:00:00Z,2006,46880
2006-01-01T16:00:00Z,2006,51673
2006-01-01T17:00:00Z,2006,52934
2006-01-01T18:00:00Z,2006,52123
2006-01-01T19:00:00Z,2006,50288
2006-01-01T20:00:00Z,2006,50209
2006-01-01T21:00:00Z,2006,51361
2006-01-01T22:00:00Z,2006,48050
2006-01-01T23:00:00Z,2006,44990
2006-01-02T00:00:00Z,2006,43319
2006-01-02T01:00:00Z,2006,42327
2006-01-02T02:00:00Z,2006,41921
2006-01-02T03:00:00Z,2006,42697
2006-01-02T04:00:00Z,2006,44602
2006-01-02T05:00:00Z,2006,48751
2006-01-02T06:00:00Z,2006,55363
2006-01-02T07:00:00Z,2006,59779
2006-01-02T08:00:00Z,2006,62054
2006-01-02T09:00:00Z,2006,63978
2006-01-02T10:00:00Z,2006,65766
2006-01-02T11:00:00Z,2006,65965
2006-01-02T12:00:00Z,2006,65178
2006-01-02T13:00:00Z,2006,64080
2006-01-02T14:00:00Z,2006,63669
2006-01-02T15:00:00Z,2006,64871
2006-01-02T16:00:00Z,2006,67751
2006-01-02T17:00:00Z,2006,65494
2006-01-02T18:00:00Z,2006,65395
2006-01-02T19:00:00Z,2006,61546
2006-01-02T20:00:00Z,2006,59784
2006-01-02T21:00:00Z,2006,59486
2006-01-02T22:00:00Z,2006,54916
2006-01-02T23:00:00Z,2006,51829
2006-01-03T00:00:00Z,2006,49637
2006-01-03T01:00:00Z,2006,48680
2006-01-03T02:00:00Z,2006,48487
