tech,categ,sector,fuel,eff,time_series,lifetime,financial_lifetime,discount_rate
pv,generation,el,none,0,solar,15,30,0.04
wind,generation,el,none,0,wind,15,30,0.04
coal,generation,el,coal,0,none,45,30,0.04
oil,generation,el,oil,0,none,40,30,0.04
gas,generation,el,gas,0,none,50,30,0.04
bat_e,storage_e,el,none,0.93,none,25,30,0.04
bat_in,storage_in,el,none,0.97,none,25,30,0.04
bat_out,storage_out,el,none,0.97,none,25,30,0.04
h2_e,storage_e,el,none,0.99,none,40,30,0.04
h2_in,storage_in,el,none,0.83,none,15,30,0.04
h2_out,storage_out,el,none,0.53,none,40,30,0.04
trans,transmission,el,none,0.9995,none,80,30,0.04
