Timestamp,year,dena21,dena22,dena23,dena24,dena25,dena26,dena41,dena42,dena71,dena72,dena73,dena74,dena75,dena76,dena81,dena82,dena83,dena84
2015-01-01T00:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01T01:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01T02:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01T03:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01T04:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01T05:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01T06:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01T07:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01T08:00:00,2015,0.007,0.015,0.017,0.007,0.006,0.001,0.007,0.001,0.008,0.007,0.006,0.011,0.007,0,0.01,0.005,0,0.001
2015-01-01T09:00:00,2015,0.039,0.037,0.057,0.039,0.03,0.006,0.04,0.005,0.026,0.04,0.029,0.045,0.039,0.004,0.042,0.019,0.004,0.006
2015-01-01T10:00:00,2015,0.056,0.052,0.103,0.057,0.062,0.016,0.057,0.012,0.05,0.057,0.035,0.086,0.057,0.01,0.073,0.041,0.01,0.016
2015-01-01T11:00:00,2015,0.087,0.052,0.126,0.089,0.082,0.026,0.089,0.017,0.052,0.089,0.031,0.097,0.089,0.015,0.133,0.05,0.015,0.026
2015-01-01T12:00:00,2015,0.081,0.066,0.105,0.083,0.168,0.02,0.075,0.01,0.071,0.075,0.03,0.193,0.083,0.007,0.114,0.073,0.007,0.02
2015-01-01T13:00:00,2015,0.066,0.062,0.135,0.067,0.071,0.006,0.064,0.003,0.044,0.064,0.033,0.101,0.067,0.002,0.083,0.034,0.002,0.006
2015-01-01T14:00:00,2015,0.009,0.011,0.016,0.009,0.007,0,0.008,0,0.005,0.008,0.002,0.012,0.009,0,0.017,0.003,0,0
2015-01-01T15:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01T16:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01T17:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01T18:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01T19:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01T20:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01T21:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01T22:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01T23:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02T00:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02T01:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02T02:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02T03:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02T04:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02T05:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02T06:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02T07:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02T08:00:00,2015,0.009,0.005,0.019,0.009,0.043,0.023,0.01,0.014,0.028,0.01,0.007,0.046,0.009,0.012,0.006,0.034,0.012,0.023
2015-01-02T09:00:00,2015,0.044,0.026,0.083,0.044,0.156,0.076,0.045,0.057,0.088,0.045,0.042,0.174,0.044,0.053,0.042,0.105,0.053,0.076
2015-01-02T10:00:00,2015,0.083,0.081,0.142,0.084,0.195,0.106,0.083,0.085,0.158,0.083,0.068,0.257,0.084,0.081,0.091,0.164,0.081,0.106
2015-01-02T11:00:00,2015,0.085,0.076,0.196,0.086,0.253,0.144,0.09,0.114,0.194,0.09,0.051,0.297,0.086,0.108,0.109,0.205,0.108,0.144
2015-01-02T12:00:00,2015,0.127,0.073,0.216,0.128,0.246,0.124,0.13,0.096,0.196,0.13,0.069,0.287,0.128,0.087,0.141,0.2,0.087,0.124
2015-01-02T13:00:00,2015,0.094,0.057,0.13,0.094,0.112,0.042,0.094,0.03,0.096,0.094,0.064,0.165,0.094,0.028,0.108,0.085,0.028,0.042
2015-01-02T14:00:00,2015,0.011,0.009,0.011,0.012,0.012,0.004,0.011,0.002,0.007,0.011,0.007,0.024,0.012,0.002,0.016,0.007,0.002,0.004
2015-01-02T15:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02T16:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02T17:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02T18:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02T19:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02T20:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02T21:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02T22:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02T23:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-03T00:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-03T01:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-03T02:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-03T03:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-03T04:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-03T05:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-03T06:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-03T07:00:00,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-03T08:00:00,2015,0.008,0.015,0.013,0.008,0.008,0.001,0.008,0.002,0.005,0.008,0.007,0.009,0.008,0.002,0.014,0.004,0.002,0.001
2015-01-03T09:00:00,2015,0.02,0.026,0.033,0.02,0.026,0.011,0.019,0.013,0.018,0.019,0.014,0.031,0.02,0.015,0.032,0.017,0.015,0.011
2015-01-03T10:00:00,2015,0.027,0.032,0.055,0.027,0.039,0.024,0.026,0.03,0.031,0.026,0.016,0.051,0.027,0.036,0.044,0.029,0.036,0.024
2015-01-03T11:00:00,2015,0.027,0.032,0.047,0.028,0.034,0.039,0.027,0.053,0.026,0.027,0.017,0.058,0.028,0.061,0.046,0.028,0.061,0.039
2015-01-03T12:00:00,2015,0.018,0.024,0.026,0.018,0.026,0.047,0.018,0.074,0.023,0.018,0.012,0.044,0.018,0.079,0.028,0.026,0.079,0.047
