Timestamp,year,dena21,dena22,dena23,dena24,dena25,dena26,dena41,dena42,dena71,dena72,dena73,dena74,dena75,dena76,dena81,dena82,dena83,dena84
2015-01-01T00:00:00,2015,0.404,0.42,0.35,0.55,0.555,0.55,0.596,0.564,0.547,0.312,0.34,0.256,0.399,0.564,0.34,0.596,0.564,0.55
2015-01-01T01:00:00,2015,0.431,0.439,0.346,0.597,0.57,0.597,0.599,0.573,0.587,0.321,0.353,0.261,0.427,0.573,0.351,0.599,0.573,0.597
2015-01-01T02:00:00,2015,0.419,0.43,0.346,0.618,0.614,0.618,0.592,0.573,0.603,0.334,0.37,0.272,0.415,0.573,0.356,0.592,0.573,0.618
2015-01-01T03:00:00,2015,0.419,0.434,0.367,0.655,0.589,0.655,0.567,0.547,0.644,0.344,0.37,0.29,0.415,0.547,0.364,0.567,0.547,0.655
2015-01-01T04:00:00,2015,0.434,0.448,0.375,0.666,0.612,0.666,0.56,0.539,0.656,0.349,0.413,0.294,0.43,0.539,0.414,0.56,0.539,0.666
2015-01-01T05:00:00,2015,0.449,0.464,0.373,0.639,0.596,0.639,0.584,0.561,0.627,0.395,0.419,0.302,0.445,0.561,0.407,0.584,0.561,0.639
2015-01-01T06:00:00,2015,0.482,0.498,0.422,0.698,0.649,0.698,0.623,0.607,0.684,0.418,0.445,0.329,0.478,0.607,0.436,0.623,0.607,0.698
2015-01-01T07:00:00,2015,0.526,0.537,0.427,0.694,0.693,0.694,0.653,0.626,0.684,0.43,0.449,0.337,0.522,0.626,0.434,0.653,0.626,0.694
2015-01-01T08:00:00,2015,0.524,0.535,0.429,0.697,0.706,0.697,0.684,0.654,0.687,0.482,0.459,0.35,0.52,0.654,0.434,0.684,0.654,0.697
2015-01-01T09:00:00,2015,0.524,0.542,0.503,0.757,0.628,0.757,0.694,0.672,0.748,0.477,0.495,0.43,0.518,0.672,0.482,0.694,0.672,0.757
2015-01-01T10:00:00,2015,0.502,0.526,0.524,0.759,0.643,0.759,0.676,0.654,0.753,0.422,0.5,0.443,0.498,0.654,0.494,0.676,0.654,0.759
2015-01-01T11:00:00,2015,0.51,0.53,0.477,0.74,0.64,0.74,0.689,0.663,0.728,0.502,0.48,0.364,0.504,0.663,0.467,0.689,0.663,0.74
2015-01-01T12:00:00,2015,0.502,0.524,0.47,0.766,0.637,0.766,0.714,0.693,0.749,0.504,0.494,0.379,0.498,0.693,0.482,0.714,0.693,0.766
2015-01-01T13:00:00,2015,0.541,0.561,0.499,0.783,0.664,0.783,0.713,0.691,0.772,0.503,0.499,0.404,0.535,0.691,0.489,0.713,0.691,0.783
2015-01-01T14:00:00,2015,0.539,0.555,0.503,0.779,0.699,0.779,0.718,0.696,0.767,0.555,0.525,0.443,0.534,0.696,0.51,0.718,0.696,0.779
2015-01-01T15:00:00,2015,0.53,0.545,0.486,0.773,0.696,0.773,0.743,0.718,0.757,0.603,0.546,0.468,0.526,0.718,0.52,0.743,0.718,0.773
2015-01-01T16:00:00,2015,0.539,0.553,0.494,0.794,0.684,0.794,0.774,0.75,0.777,0.634,0.581,0.492,0.534,0.75,0.55,0.774,0.75,0.794
2015-01-01T17:00:00,2015,0.565,0.581,0.521,0.831,0.689,0.831,0.813,0.793,0.812,0.677,0.63,0.531,0.561,0.793,0.593,0.813,0.793,0.831
2015-01-01T18:00:00,2015,0.596,0.613,0.557,0.861,0.711,0.861,0.85,0.832,0.843,0.741,0.689,0.579,0.593,0.832,0.647,0.85,0.832,0.861
2015-01-01T19:00:00,2015,0.646,0.665,0.612,0.898,0.747,0.898,0.895,0.879,0.882,0.809,0.754,0.641,0.642,0.879,0.713,0.895,0.879,0.898
2015-01-01T20:00:00,2015,0.708,0.726,0.668,0.933,0.786,0.933,0.925,0.914,0.921,0.843,0.816,0.717,0.704,0.914,0.785,0.925,0.914,0.933
2015-01-01T21:00:00,2015,0.749,0.767,0.702,0.948,0.82,0.948,0.934,0.925,0.937,0.874,0.86,0.766,0.745,0.925,0.832,0.934,0.925,0.948
2015-01-01T22:00:00,2015,0.775,0.794,0.732,0.957,0.842,0.957,0.945,0.937,0.947,0.892,0.877,0.803,0.771,0.937,0.85,0.945,0.937,0.957
2015-01-01T23:00:00,2015,0.786,0.806,0.75,0.966,0.847,0.966,0.954,0.948,0.958,0.903,0.886,0.817,0.781,0.948,0.861,0.954,0.948,0.966
2015-01-02T00:00:00,2015,0.805,0.826,0.764,0.971,0.884,0.971,0.961,0.955,0.964,0.915,0.898,0.835,0.8,0.955,0.876,0.961,0.955,0.971
2015-01-02T01:00:00,2015,0.846,0.867,0.812,0.976,0.913,0.976,0.965,0.96,0.97,0.925,0.914,0.858,0.842,0.96,0.893,0.965,0.96,0.976
2015-01-02T02:00:00,2015,0.91,0.921,0.842,0.983,0.95,0.983,0.974,0.971,0.978,0.931,0.934,0.877,0.909,0.971,0.918,0.974,0.971,0.983
2015-01-02T03:00:00,2015,0.925,0.934,0.855,0.986,0.961,0.986,0.98,0.978,0.982,0.938,0.943,0.883,0.923,0.978,0.932,0.98,0.978,0.986
2015-01-02T04:00:00,2015,0.938,0.946,0.858,0.987,0.977,0.987,0.98,0.98,0.984,0.934,0.957,0.88,0.936,0.98,0.949,0.98,0.98,0.987
2015-01-02T05:00:00,2015,0.947,0.953,0.867,0.985,0.987,0.985,0.973,0.971,0.982,0.921,0.951,0.881,0.946,0.971,0.942,0.973,0.971,0.985
2015-01-02T06:00:00,2015,0.949,0.955,0.937,0.987,0.987,0.987,0.978,0.975,0.987,0.892,0.937,0.89,0.948,0.975,0.938,0.978,0.975,0.987
2015-01-02T07:00:00,2015,0.95,0.954,0.946,0.986,0.986,0.986,0.977,0.976,0.987,0.877,0.932,0.879,0.948,0.976,0.931,0.977,0.976,0.986
2015-01-02T08:00:00,2015,0.96,0.962,0.946,0.986,0.987,0.986,0.968,0.969,0.986,0.87,0.932,0.863,0.959,0.969,0.932,0.968,0.969,0.986
2015-01-02T09:00:00,2015,0.96,0.964,0.953,0.986,0.986,0.986,0.954,0.954,0.987,0.859,0.934,0.887,0.958,0.954,0.935,0.954,0.954,0.986
2015-01-02T10:00:00,2015,0.97,0.972,0.955,0.987,0.987,0.987,0.956,0.954,0.987,0.851,0.934,0.912,0.969,0.954,0.933,0.956,0.954,0.987
2015-01-02T11:00:00,2015,0.97,0.972,0.953,0.987,0.982,0.987,0.962,0.959,0.987,0.851,0.936,0.916,0.97,0.959,0.936,0.962,0.959,0.987
2015-01-02T12:00:00,2015,0.967,0.969,0.951,0.987,0.984,0.987,0.965,0.963,0.987,0.857,0.936,0.913,0.967,0.963,0.935,0.965,0.963,0.987
2015-01-02T13:00:00,2015,0.964,0.966,0.945,0.987,0.986,0.987,0.967,0.965,0.987,0.862,0.935,0.902,0.963,0.965,0.933,0.967,0.965,0.987
2015-01-02T14:00:00,2015,0.959,0.962,0.94,0.987,0.987,0.987,0.966,0.963,0.987,0.854,0.936,0.897,0.959,0.963,0.934,0.966,0.963,0.987
2015-01-02T15:00:00,2015,0.957,0.959,0.933,0.986,0.987,0.986,0.956,0.953,0.986,0.852,0.925,0.883,0.956,0.953,0.921,0.956,0.953,0.986
2015-01-02T16:00:00,2015,0.954,0.957,0.931,0.985,0.987,0.985,0.952,0.949,0.985,0.863,0.918,0.872,0.954,0.949,0.914,0.952,0.949,0.985
2015-01-02T17:00:00,2015,0.958,0.96,0.93,0.984,0.987,0.984,0.938,0.935,0.984,0.858,0.91,0.869,0.957,0.935,0.908,0.938,0.935,0.984
2015-01-02T18:00:00,2015,0.957,0.959,0.918,0.978,0.987,0.978,0.923,0.919,0.979,0.837,0.896,0.857,0.957,0.919,0.891,0.923,0.919,0.978
2015-01-02T19:00:00,2015,0.946,0.948,0.903,0.975,0.987,0.975,0.917,0.912,0.975,0.826,0.892,0.841,0.946,0.912,0.886,0.917,0.912,0.975
2015-01-02T20:00:00,2015,0.937,0.939,0.9,0.977,0.987,0.977,0.923,0.918,0.977,0.81,0.902,0.842,0.936,0.918,0.895,0.923,0.918,0.977
2015-01-02T21:00:00,2015,0.939,0.941,0.914,0.981,0.986,0.981,0.925,0.92,0.981,0.794,0.914,0.864,0.938,0.92,0.909,0.925,0.92,0.981
2015-01-02T22:00:00,2015,0.949,0.951,0.92,0.98,0.986,0.98,0.935,0.929,0.98,0.791,0.916,0.876,0.948,0.929,0.911,0.935,0.929,0.98
2015-01-02T23:00:00,2015,0.949,0.95,0.92,0.982,0.987,0.982,0.948,0.943,0.982,0.788,0.921,0.872,0.948,0.943,0.917,0.948,0.943,0.982
2015-01-03T00:00:00,2015,0.954,0.956,0.931,0.986,0.987,0.986,0.957,0.954,0.986,0.757,0.928,0.885,0.954,0.954,0.927,0.957,0.954,0.986
2015-01-03T01:00:00,2015,0.961,0.963,0.932,0.985,0.986,0.985,0.953,0.949,0.985,0.654,0.905,0.874,0.961,0.949,0.909,0.953,0.949,0.985
2015-01-03T02:00:00,2015,0.957,0.957,0.909,0.978,0.985,0.978,0.926,0.923,0.978,0.547,0.86,0.83,0.956,0.923,0.865,0.926,0.923,0.978
2015-01-03T03:00:00,2015,0.942,0.943,0.878,0.964,0.987,0.964,0.896,0.89,0.964,0.528,0.821,0.78,0.941,0.89,0.824,0.896,0.89,0.964
2015-01-03T04:00:00,2015,0.919,0.92,0.848,0.957,0.986,0.957,0.883,0.878,0.956,0.544,0.818,0.736,0.918,0.878,0.822,0.883,0.878,0.957
2015-01-03T05:00:00,2015,0.899,0.902,0.851,0.962,0.982,0.962,0.874,0.871,0.962,0.557,0.835,0.728,0.898,0.871,0.84,0.874,0.871,0.962
2015-01-03T06:00:00,2015,0.9,0.903,0.871,0.969,0.977,0.969,0.861,0.862,0.969,0.577,0.858,0.753,0.899,0.862,0.863,0.861,0.862,0.969
2015-01-03T07:00:00,2015,0.9,0.903,0.89,0.971,0.975,0.971,0.852,0.856,0.971,0.594,0.872,0.778,0.899,0.856,0.878,0.852,0.856,0.971
2015-01-03T08:00:00,2015,0.905,0.906,0.901,0.969,0.975,0.969,0.838,0.848,0.97,0.606,0.877,0.794,0.905,0.848,0.885,0.838,0.848,0.969
2015-01-03T09:00:00,2015,0.925,0.924,0.905,0.967,0.978,0.967,0.817,0.832,0.969,0.589,0.874,0.785,0.925,0.832,0.883,0.817,0.832,0.967
2015-01-03T10:00:00,2015,0.935,0.935,0.902,0.966,0.98,0.966,0.803,0.823,0.968,0.564,0.875,0.788,0.935,0.823,0.885,0.803,0.823,0.966
2015-01-03T11:00:00,2015,0.927,0.926,0.898,0.957,0.973,0.957,0.755,0.777,0.96,0.541,0.869,0.801,0.927,0.777,0.881,0.755,0.777,0.957
2015-01-03T12:00:00,2015,0.908,0.907,0.886,0.934,0.962,0.934,0.657,0.68,0.942,0.513,0.84,0.789,0.909,0.68,0.854,0.657,0.68,0.934
