lines,node_start,node_end,reactance,resistance,power,circuits,voltage,length
line01,dena82,dena21,20.2299517565562,3.79273739773027,980,2,220,56.3996082216464
line02,dena73,dena72,17.3587322505912,3.31193949260616,4640,8,380,86.1792595211399
line03,dena74,dena72,10.4766408334095,1.92088495919161,10720,15,380,70.5192079395777
line04,dena72,dena74,22.3686858038644,2.15240057411274,4380,5,380,70.5192079395777
line05,dena24,dena74,17.965,1.579,1700,1,380,150.383429129294
line06,dena41,dena75,35.4306888374502,4.64986542169338,3170,4,380,98.5286716246685
line07,dena42,dena75,47.414017276818,8.89002761317848,980,2,220,174.836538426568
line08,dena41,dena42,43.7390205945984,3.68160904482917,7780,9,380,98.9745547225983
line09,dena75,dena41,9.70311209285303,1.81926268823201,980,2,220,98.5286716246685
line10,dena72,dena71,29.4138848989525,3.76199758648431,3890,3,380,112.59581586592
line11,dena73,dena71,29.1197644222776,2.97318205188128,3890,3,380,72.0743279567595
line12,dena24,dena73,15.2797393918452,1.34251867872591,3400,3,380,123.496604867472
line13,dena73,dena24,28.509,2.505,1700,1,380,123.496604867472
line14,dena73,dena23,13.4779603699143,2.11807751677852,2680,4,380,137.958908669182
line15,dena23,dena24,13.9687422793905,1.30713541666667,3890,4,380,177.043375932064
line16,dena75,dena74,33.6966360458801,4.86181115972794,7780,7,380,141.069363090717
line17,dena42,dena41,33.8436117742113,6.57720634595701,2680,5,380,98.9745547225983
line18,dena42,dena76,13.7393222420755,2.49499696452286,6570,7,380,117.310118346994
line19,dena24,dena75,7.3378248734437,0.645052918287938,3400,2,380,166.575081601869
line20,dena25,dena24,32.5092389564063,2.85664031154118,3400,2,380,169.940713652263
line21,dena25,dena41,32.0804781005936,2.81919409882688,3400,2,380,162.327362847087
line22,dena25,dena26,37.2176533518822,6.47124037773644,4380,6,380,176.002010231868
line23,dena84,dena81,47.2643645649944,4.47708686501483,7290,5,380,204.411556166445
line24,dena84,dena83,49.1456082842536,8.45201221327039,6570,6,380,134.779537078581
line25,dena83,dena24,35.5878130705928,3.12728315346625,3400,2,380,168.749219796611
line26,dena83,dena84,32.2624866760755,3.94849233820083,3890,4,380,134.779537078581
line27,dena21,dena82,21.4227762518762,3.85473413464978,3170,6,380,56.3996082216464
line28,dena23,dena71,26.162,2.299,1700,1,380,143.919129549812
line29,dena22,dena71,34.834,3.061,1700,1,380,112.186861990058
line30,dena25,dena83,18.58,1.633,1700,2,380,148.61169254208
line31,dena71,dena22,15.5556512166115,1.36701170446233,3400,2,380,112.186861990058
line32,dena22,dena23,28.6643878393724,2.83507098491571,2190,3,380,147.113012834363
line33,dena23,dena22,43.296,3.805,1700,1,380,147.113012834363
line34,dena75,dena42,36.898,3.243,1700,2,380,174.836538426568
line35,dena72,dena73,16.1678661387106,2.95584211784391,4380,6,380,86.1792595211399
line36,dena23,dena82,9.415,0.827,1700,2,380,142.738036629431
line37,dena82,dena22,9.483,0.833,1700,2,380,117.972165893574
line38,dena76,dena26,16.563,1.456,1700,2,380,112.390408578244
line39,dena23,dena81,16.154,1.42,1700,2,380,213.535406192872
line40,dena82,dena81,28.829,2.533,1700,2,380,194.657038105352
line41,dena83,dena81,39.32,3.455,1700,2,380,240.575127609884
line42,dena21,dena22,18.91,1.662,1700,2,380,139.051989244102
line43,dena24,dena25,11.822,2.217,490,2,220,169.940713652263
line44,dena23,dena73,20.3761597244645,3.82079107475965,980,2,220,137.958908669182
line45,dena71,dena73,23.686,4.441,490,1,220,72.0743279567595
line46,dena74,dena73,20.765,3.893,490,2,220,127.922707868721
line47,dena22,dena82,9.602,1.8,490,2,220,117.972165893574
line48,dena26,dena25,29.578,5.546,490,2,220,176.002010231868
line49,dena74,dena24,12.519,1.1,1700,1,380,150.383429129294
