nodes,pv,wind,coal,gas,oil,bat
dena21,1068,3299,470,23,550,0
dena81,2655,6757,1469,2468,718,0
dena82,247,609,454,146,148,0
dena22,1513,4442,1631,792,462,0
dena23,986,3145,2724,640,354,0
dena71,1041,1014,794,1960,0,0,0
dena84,2450,3184,8289,799,174,0
dena73,1234,1301,2124,2179,218,0
dena24,1377,1000,1172,604,82,0
dena83,1723,2311,998,926,259,0
dena72,1446,543,9963,2875,1918,0
dena74,1062,1304,7847,1571,155,0
dena25,3289,701,42,1509,0,0
dena75,1736,1531,3553,2127,168,0
dena41,1289,190,1530,659,75,0
dena42,3081,335,1166,505,669,0
dena26,3994,49,801,2447,987,0
dena76,2121,112,0,140,67,0
