Timestamp,node61
h1,28444
h2,28034
h3,28169
h4,28554
h5,29326
h6,31202
h7,33977
h8,35651
h9,35479
h10,34859
h11,33864
h12,32513
h13,31537
h14,31085
h15,30808
h16,30723
h17,30876
h18,32255
h19,34948
h20,35666
h21,35614
h22,35138
h23,33275
h24,31612
h25,31349
h26,30722
h27,30900
h28,31091
h29,32123
h30,34439
h31,38115
h32,39582
h33,37428
h34,35565
h35,34327
h36,33135
h37,32205
h38,31712
h39,31177
h40,30853
h41,30804
h42,31999
h43,34470
h44,34948
h45,34685
h46,34028
h47,32227
h48,30266
h49,27794
h50,27267
h51,27460
h52,27980
h53,28718
h54,30782
h55,33513
h56,35150
h57,33842
h58,32886
h59,32180
h60,31174
h61,30423
h62,30121
h63,29485
h64,29114
h65,28961
h66,29964
h67,32433
h68,32871
h69,32572
h70,31632
h71,29769
h72,27845
h73,26793
h74,26374
h75,26269
h76,26641
h77,27560
h78,29404
h79,32134
h80,33713
h81,33024
h82,32450
h83,31911
h84,31101
h85,30400
h86,30012
h87,29404
h88,29279
h89,29280
h90,30199
h91,32566
h92,32940
h93,32564
h94,31688
h95,29576
h96,27735
h97,27930
h98,27264
h99,27007
h100,27159
h101,27889
h102,30010
h103,33689
h104,35390
h105,34500
h106,33897
h107,33538
h108,32739
h109,32178
h110,31884
h111,31652
h112,31600
h113,31753
h114,32990
h115,35492
h116,36122
h117,35862
h118,35031
h119,33311
h120,31305
h121,29934
h122,29377
h123,29333
h124,29436
h125,30281
h126,32681
h127,36750
h128,38298
h129,37355
h130,36459
h131,35400
h132,33973
h133,32776
h134,32174
h135,31624
h136,31466
h137,31530
h138,32845
h139,35101
h140,35682
h141,35599
h142,34719
h143,32631
h144,30752
h145,28756
h146,28168
h147,27685
h148,27972
h149,28903
h150,31101
h151,35036
h152,36429
h153,34431
h154,33327
h155,32648
h156,31771
h157,31283
h158,31057
h159,30780
h160,30450
h161,30188
h162,30771
h163,32935
h164,33224
h165,32772
h166,31620
h167,29642
h168,27426
h169,25362
h170,24408
h171,23972
h172,23967
h173,24688
h174,26967
h175,30773
h176,32768
h177,32167
h178,32021
h179,32008
h180,31475
h181,31189
h182,31243
h183,31045
h184,31023
h185,31190
h186,31760
h187,33823
h188,33960
h189,33446
h190,32158
h191,30103
h192,27968
h193,27020
h194,26596
h195,26511
h196,26918
h197,27809
h198,30413
h199,34592
h200,36351
h201,35569
h202,35012
h203,34431
h204,33317
h205,32500
h206,32137
h207,31889
h208,31865
h209,32294
h210,33862
h211,36443
h212,36819
h213,36515
h214,35513
h215,33224
h216,31024
h217,29030
h218,28356
h219,28151
h220,28260
h221,28871
h222,30472
h223,32811
h224,34352
h225,34833
h226,34879
h227,34644
h228,33762
h229,33223
h230,32981
h231,32607
h232,32734
h233,32889
h234,33843
h235,35961
h236,35969
h237,35470
h238,34241
h239,32089
h240,30038
h241,29228
h242,28682
h243,28507
h244,28718
h245,29314
h246,31010
h247,33646
h248,35354
h249,36314
h250,36603
h251,36952
h252,36396
h253,35908
h254,35764
h255,35873
h256,35797
h257,35850
h258,36747
h259,38773
h260,38813
h261,38162
h262,36872
h263,34577
h264,32595
h265,32244
h266,31408
h267,31019
h268,30959
h269,31583
h270,33636
h271,37359
h272,38853
h273,38382
h274,37959
h275,37416
h276,36205
h277,35250
h278,34685
h279,34299
h280,34067
h281,34268
h282,35193
h283,37378
h284,37509
h285,37140
h286,36032
h287,34045
h288,32008
h289,30461
h290,29985
h291,29830
h292,30121
h293,30810
h294,33009
h295,36828
h296,38304
h297,37365
h298,36729
h299,36427
h300,35096
h301,34239
h302,33552
h303,33178
h304,33026
h305,33027
h306,34203
h307,36673
h308,36994
h309,36959
h310,36011
h311,33905
h312,32017
h313,30512
h314,30030
h315,29655
h316,29571
h317,30131
h318,32207
h319,35772
h320,37369
h321,36845
h322,36581
h323,36268
h324,35352
h325,34695
h326,34325
h327,33901
h328,33678
h329,33786
h330,34451
h331,36288
h332,36209
h333,35616
h334,34367
h335,32266
h336,30003
h337,28173
h338,27267
h339,26928
h340,26936
h341,28054
h342,30562
h343,34911
h344,36890
h345,36525
h346,36167
h347,35905
h348,34995
h349,34355
h350,33916
h351,33688
h352,33767
h353,34106
h354,35681
