Timestamp,node61,node60,node62,node63,node65,node64,node67
h1,0,0,0,0,0,0,0
h2,0,0,0,0,0,0,0
h3,0,0,0,0,0,0,0
h4,0,0,0,0,0,0,0
h5,0,0,0,0,0,0,0
h6,0,0,0,0,0,0,0
h7,0,0,0,0,0,0,0
h8,0,0,0,2,0,1,10
h9,13,48,14,88,65,53,169
h10,59,81,53,139,56,105,303
h11,126,152,120,77,104,97,244
h12,283,169,177,118,149,192,396
h13,432,115,378,318,163,175,282
h14,556,159,532,181,153,392,239
h15,492,380,509,364,283,270,258
h16,408,203,223,277,220,137,258
h17,228,152,184,73,159,71,97
h18,42,14,22,0,18,4,2
h19,0,0,0,0,0,0,0
h20,0,0,0,0,0,0,0
h21,0,0,0,0,0,0,0
h22,0,0,0,0,0,0,0
h23,0,0,0,0,0,0,0
h24,0,0,0,0,0,0,0
h25,0,0,0,0,0,0,0
h26,0,0,0,0,0,0,0
h27,0,0,0,0,0,0,0
h28,0,0,0,0,0,0,0
h29,0,0,0,0,0,0,0
h30,0,0,0,0,0,0,0
h31,0,0,0,0,0,0,0
h32,0,0,0,2,0,2,8
h33,26,84,14,70,111,97,135
h34,111,125,165,125,56,56,207
h35,119,112,233,77,97,84,347
h36,214,88,101,93,93,143,173
h37,110,237,152,96,157,144,102
h38,266,212,314,274,176,216,111
h39,149,91,132,219,233,79,354
h40,136,59,136,115,220,212,258
h41,73,83,78,103,131,31,124
h42,20,10,19,0,21,3,2
h43,0,0,0,0,0,0,0
h44,0,0,0,0,0,0,0
h45,0,0,0,0,0,0,0
h46,0,0,0,0,0,0,0
h47,0,0,0,0,0,0,0
h48,0,0,0,0,0,0,0
h49,0,0,0,0,0,0,0
h50,0,0,0,0,0,0,0
h51,0,0,0,0,0,0,0
h52,0,0,0,0,0,0,0
h53,0,0,0,0,0,0,0
h54,0,0,0,0,0,0,0
h55,0,0,0,0,0,0,0
h56,0,0,0,2,0,1,10
h57,53,48,101,62,28,27,186
h58,97,184,143,125,63,70,310
h59,172,271,153,181,78,149,483
h60,101,320,297,211,93,509,384
h61,219,504,610,210,242,572,409
h62,343,306,396,134,288,561,566
h63,263,244,303,297,170,468,484
h64,163,182,125,194,199,318,327
h65,112,88,107,138,103,157,151
h66,20,17,34,0,16,5,3
h67,0,0,0,0,0,0,0
h68,0,0,0,0,0,0,0
h69,0,0,0,0,0,0,0
h70,0,0,0,0,0,0,0
h71,0,0,0,0,0,0,0
h72,0,0,0,0,0,0,0
h73,0,0,0,0,0,0,0
h74,0,0,0,0,0,0,0
h75,0,0,0,0,0,0,0
h76,0,0,0,0,0,0,0
h77,0,0,0,0,0,0,0
h78,0,0,0,0,0,0,0
h79,0,0,0,0,0,0,0
h80,0,0,0,1,0,1,9
h81,53,61,15,53,103,27,169
h82,45,103,45,91,211,223,221
h83,73,73,73,278,292,155,129
h84,88,88,454,124,474,186,260
h85,104,91,506,301,157,355,517
h86,284,88,556,338,159,380,286
h87,469,114,532,230,227,175,281
h88,414,91,365,52,210,201,180
h89,245,37,170,74,118,77,85
h90,9,11,31,0,23,7,3
h91,0,0,0,0,0,0,0
h92,0,0,0,0,0,0,0
h93,0,0,0,0,0,0,0
h94,0,0,0,0,0,0,0
h95,0,0,0,0,0,0,0
h96,0,0,0,0,0,0,0
h97,0,0,0,0,0,0,0
h98,0,0,0,0,0,0,0
h99,0,0,0,0,0,0,0
h100,0,0,0,0,0,0,0
h101,0,0,0,0,0,0,0
h102,0,0,0,0,0,0,0
h103,0,0,0,0,0,0,0
h104,0,0,0,1,0,1,6
h105,27,85,29,44,28,71,110
h106,112,66,45,77,56,84,117
h107,212,92,339,116,91,78,238
h108,454,188,240,93,93,93,279
h109,372,194,476,120,199,102,168
h110,349,383,302,134,100,94,257
h111,475,210,492,79,97,85,281
h112,229,59,201,63,91,58,196
h113,147,75,190,44,76,27,45
h114,30,17,29,0,17,7,3
h115,0,0,0,0,0,0,0
h116,0,0,0,0,0,0,0
h117,0,0,0,0,0,0,0
h118,0,0,0,0,0,0,0
h119,0,0,0,0,0,0,0
h120,0,0,0,0,0,0,0
h121,0,0,0,0,0,0,0
h122,0,0,0,0,0,0,0
h123,0,0,0,0,0,0,0
h124,0,0,0,0,0,0,0
h125,0,0,0,0,0,0,0
h126,0,0,0,0,0,0,0
h127,0,0,0,0,0,0,0
h128,0,0,0,1,0,2,2
h129,93,110,73,27,56,80,42
h130,134,88,226,63,106,119,110
h131,212,436,173,123,85,246,97
h132,523,540,297,124,125,186,118
h133,530,595,348,168,133,193,102
h134,373,530,610,163,123,146,158
h135,413,495,470,96,85,119,96
h136,393,322,392,53,81,117,53
h137,113,192,220,52,52,45,27
h138,15,8,27,0,11,5,4
h139,0,0,0,0,0,0,0
h140,0,0,0,0,0,0,0
h141,0,0,0,0,0,0,0
h142,0,0,0,0,0,0,0
h143,0,0,0,0,0,0,0
h144,0,0,0,0,0,0,0
h145,0,0,0,0,0,0,0
h146,0,0,0,0,0,0,0
h147,0,0,0,0,0,0,0
h148,0,0,0,0,0,0,0
h149,0,0,0,0,0,0,0
h150,0,0,0,0,0,0,0
h151,0,0,0,0,0,0,0
h152,0,0,0,1,0,1,9
h153,107,122,103,44,28,27,161
h154,305,294,286,56,148,56,283
h155,465,436,446,84,98,97,116
h156,580,547,562,93,100,112,142
h157,652,595,622,132,357,108,102
h158,634,577,616,93,323,164,432
h159,556,500,544,169,500,79,310
h160,421,360,415,105,388,128,148
h161,246,193,245,92,204,118,27
h162,62,22,54,2,27,10,4
