H                Wind-60                 Wind-61                 Wind-62
h1              0.433503113             0.418604651             0.310089021
h2              0.419354839             0.338961453             0.445103858
h3              0.507923033             0.391525964             0.517804154
h4              0.475382003             0.388021663             0.456973294
h5              0.541595925             0.457789105             0.448071217
h6              0.515280136             0.477859191             0.396142433
h7              0.465478212             0.473717745             0.363501484
h8              0.380871534             0.381013061             0.243323442
h9              0.414827391             0.386747372             0.301186944
h10             0.303621958             0.320802803             0.394658754
h11             0.211658178             0.230965276             0.28041543
h12             0.151952462             0.14590634              0.129080119
h13             0.228353141             0.196559414             0.133531157
h14             0.315506508             0.276839758             0.235905045
h15             0.332767402             0.282574068             0.240356083
h16             0.21279004              0.186046512             0.154302671
h17             0.087436333             0.110863332             0.139465875
h18             0.068760611             0.11627907              0.172106825
h19             0.047255235             0.098757566             0.118694362
h20             0.03254103              0.07072316              0.068249258
h21             0.020373514             0.03536158              0.025222552
h22             0.015280136             0.050653074             0
h23             0.014431239             0.063714559             0.00148368
h24             0.015563101             0.050653074             0
h25             0.024617997             0.05925454              0
h26             0.050650821             0.100987576             0.007418398
h27             0.087719298             0.11404906              0.013353116
h28             0.105829089             0.174259318             0.047477745
h29             0.140633843             0.252946798             0.086053412
h30             0.165251839             0.274291176             0.120178042
h31             0.156762875             0.263459701             0.185459941
h32             0.170628183             0.272061166             0.283382789
h33             0.352574986             0.456514814             0.523738872
h34             0.308149406             0.402357439             0.462908012
h35             0.176004527             0.23829245              0.235905045
h36             0.262591964             0.302007009             0.370919881
h37             0.378041879             0.376553042             0.474777448
h38             0.400113186             0.35807582              0.385756677
h39             0.428126769             0.426887544             0.511869436
h40             0.351160158             0.340554317             0.446587537
h41             0.278438031             0.303599873             0.402077151
h42             0.272778721             0.292768398             0.265578635
h43             0.230616865             0.242433896             0.207715134
h44             0.170062252             0.165976426             0.135014837
h45             0.093378608             0.065625996             0.048961424
h46             0.287492926             0.196877987             0.127596439
h47             0.373797397             0.273972603             0.179525223
h48             0.306734578             0.270468302             0.210682493
h49             0.365308432             0.386747372             0.247774481
h50             0.518675722             0.483274928             0.274480712
h51             0.590548953             0.506530742             0.298219585
h52             0.576117714             0.525007964             0.299703264
h53             0.563101302             0.499522141             0.296735905
h54             0.550650821             0.496336413             0.321958457
h55             0.602150538             0.54730806              0.443620178
h56             0.70147142              0.620579802             0.540059347
h57             0.659309564             0.570245301             0.445103858
h58             0.656762875             0.592863969             0.492581602
h59             0.535370685             0.540299458             0.479228487
h60             0.419354839             0.481363492             0.454005935
h61             0.248726655             0.296272698             0.289317507
h62             0.200339559             0.226823829             0.267062315
h63             0.188455008             0.190825104             0.210682493
